context,scope,cancer,geneA,geneB,group,nPatients,nEvents,medianOsMonths,medianOsStatus
STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,B only,27540,10955,37.512,estimated
STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,A+B,745,336,26.5312161,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,A−/B−,56252,19325,62.89246145,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,A only,3575,1122,83.7,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,B only,9743,3853,30.18,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,A+B,249,69,79.9890411,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,A−/B−,64122,22396,57.40273973,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,A only,3681,1129,84,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,B only,1832,758,44.08718809,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,A+B,143,62,56.41447368,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,A−/B−,56169,19621,55.8,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,A only,8484,2733,87.386,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,B only,1736,553,61.08426209,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,A+B,456,80,137.8,estimated
PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,A−/B−,40812,13070,79.56,estimated
PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,A only,3060,860,74.71,estimated
PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,B only,26945,10881,36.62943495,estimated
PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,A+B,1729,697,34.45441694,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,A−/B−,40924,12789,69.99452055,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,A only,1677,397,115.3618421,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,B only,27222,10912,34.586,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,A+B,781,249,52.011,estimated
SF3B1–SRSF2 (pan-cancer),pan-cancer,PAN-CANCER,SF3B1,SRSF2,A−/B−,61228,20595,55.00213696,estimated
SF3B1–SRSF2 (pan-cancer),pan-cancer,PAN-CANCER,SF3B1,SRSF2,A only,2355,819,71.99921097,estimated
SF3B1–SRSF2 (pan-cancer),pan-cancer,PAN-CANCER,SF3B1,SRSF2,B only,1034,567,24.36164384,estimated
SF3B1–SRSF2 (pan-cancer),pan-cancer,PAN-CANCER,SF3B1,SRSF2,A+B,57,27,25.90684932,estimated
