datasetId,context,scope,cancer,geneA,geneB,horizonMonths,nDoubleNegative,nBoth,nDoubleNegativeAtHorizon,nBothAtHorizon,rmstDoubleNegativeMonths,rmstDoubleNegativeSe,rmstBothMonths,rmstBothSe,rmstDifferenceMonths,standardError,ciLow,ciHigh,p,contrast,estimator,adjustment,fitStatus,fdr,fdrFamily
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,60,1991,28,223,1,35.53400898,0.5618653907,29.90393328,4.462697336,-5.630075697,4.497928438,-14.44585344,3.185702046,0.2106776869,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.3064402719,scope=cancer-specific; horizonMonths=60
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,36,55380,629,11413,62,27.45162861,0.0575879233,18.34076808,0.6409975317,-9.110860533,0.6435792139,-10.37225261,-7.849468453,1.701473769e-45,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.10595795e-44,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,60,55380,629,3503,10,40.42536765,0.1161307894,25.9494922,1.158023049,-14.47587545,1.163831492,-16.75694326,-12.19480764,1.622790433e-35,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.054813781e-34,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,36,39259,5319,11469,497,29.06140148,0.06265110595,22.29463788,0.2099696626,-6.766763598,0.2191173665,-7.196225745,-6.337301452,2.089615443e-209,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,2.716500076e-208,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,60,39259,5319,4663,94,43.79182118,0.1263529134,30.10720336,0.4088971739,-13.68461783,0.4279742486,-14.52343194,-12.84580371,2.402393007e-224,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,3.123110909e-223,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,36,58373,1438,13371,320,27.1395241,0.05631877982,30.43047194,0.3105493099,3.29094784,0.3156147633,2.672354271,3.909541409,1.864862706e-25,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,4.848643035e-25,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,60,58373,1438,5109,106,39.89232313,0.1112982493,46.99876078,0.6609701766,7.106437648,0.670275223,5.792722351,8.420152945,2.908395865e-26,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,7.56182925e-26,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,36,41539,910,10721,303,28.49261204,0.06305720825,30.87155875,0.3707892408,2.378946703,0.3761128456,1.641779071,3.116114334,2.530889335e-10,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,4.112695169e-10,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,60,41539,910,3655,143,42.58314581,0.1271438822,46.94885276,0.766431523,4.365706948,0.7769059442,2.842999278,5.888414618,1.916764517e-08,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,3.11474234e-08,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,36,38415,3505,10478,691,28.49029628,0.06536126808,26.6108696,0.2332941288,-1.879426685,0.2422772088,-2.354281288,-1.404572081,8.672918516e-15,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.610684867e-14,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,60,38415,3505,4096,256,42.63182392,0.1309440993,38.31234581,0.4636817234,-4.319478111,0.4818164565,-5.263821013,-3.375135209,3.103183874e-19,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,5.763055766e-19,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_EGFR_KRAS_positive,EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,36,56916,184,14572,32,27.8679693,0.0552680457,27.01358034,1.059238943,-0.8543889523,1.060679826,-2.933283211,1.224505307,0.4205250328,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.4555687855,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_EGFR_KRAS_positive,EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,60,56916,184,5748,10,41.37756735,0.1097497615,39.85870165,2.119424665,-1.518865704,2.122264338,-5.678427371,2.640695964,0.4741879263,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.4741879263,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_STK11_TP53_positive,STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,36,40142,745,11096,92,29.03746807,0.06252431174,22.05779252,0.5781909977,-6.979675546,0.5815617933,-8.119515715,-5.839835376,3.484679724e-33,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.51002788e-32,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_STK11_TP53_positive,STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,60,40142,745,4432,27,43.89530904,0.1264257967,31.32072584,1.082995484,-12.5745832,1.090349807,-14.71162955,-10.43753685,9.035803855e-31,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,3.915515004e-30,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_BRAF_KRAS_positive,BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,36,56252,249,14195,52,27.87609043,0.05555606011,28.08185005,0.8615056534,0.2057596219,0.8632951214,-1.486267724,1.897786968,0.8116157262,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.8116157262,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_BRAF_KRAS_positive,BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,60,56252,249,5527,15,41.31782796,0.1106717006,42.78154888,1.722263802,1.463720922,1.725815989,-1.91881626,4.846258104,0.3963640892,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.4293944299,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_BRAF_NRAS_positive,BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,36,64122,143,15108,34,27.39524325,0.05329713532,25.38210969,1.164440103,-2.013133554,1.165659186,-4.297783576,0.2715164681,0.0841614792,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.109409923,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_BRAF_NRAS_positive,BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,60,64122,143,5723,13,40.42674928,0.1057211267,37.65868174,2.209091021,-2.76806754,2.211619338,-7.10276179,1.566626709,0.2107148671,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.2490266611,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,36,56169,456,12322,107,27.11176635,0.05772790086,31.64412868,0.5155946081,4.532362332,0.5188162588,3.515501151,5.549223514,2.415779602e-18,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,5.234189139e-18,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,60,56169,456,4689,49,39.92825512,0.1144764808,49.87957653,1.100975971,9.951321411,1.106911448,7.78181484,12.12082798,2.468496904e-19,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,5.348409958e-19,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_PTEN_TP53_positive,PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,36,40812,1729,11513,298,28.72850947,0.06270126269,24.76689417,0.3512032446,-3.9616153,0.3567564539,-4.660845101,-3.262385499,1.192334643e-28,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,3.87508759e-28,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_PTEN_TP53_positive,PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,60,40812,1729,4653,94,43.19062892,0.1257546651,35.24942046,0.6790809311,-7.94120846,0.6906266334,-9.294811788,-6.587605132,1.341420213e-30,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,4.359615692e-30,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_CTNNB1_TP53_positive,CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,36,40924,781,10623,129,28.45507463,0.06357310945,26.93453067,0.5055747567,-1.520543953,0.5095560566,-2.519255472,-0.5218324337,0.002844544414,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.004108786376,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_CTNNB1_TP53_positive,CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,60,40924,781,3657,39,42.51389525,0.1280013009,39.29578185,1.02898126,-3.218113403,1.036912131,-5.250423835,-1.185802971,0.001912109561,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.002761936033,scope=pan-cancer; horizonMonths=60
pan-cancer_PAN-CANCER_SF3B1_SRSF2_positive,SF3B1–SRSF2 (pan-cancer),pan-cancer,PAN-CANCER,SF3B1,SRSF2,36,61228,57,13055,13,27.15546964,0.0553990666,24.84998384,1.726769992,-2.305485802,1.727658433,-5.691634109,1.080662504,0.1820541467,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.2151549006,scope=pan-cancer; horizonMonths=36
pan-cancer_PAN-CANCER_SF3B1_SRSF2_positive,SF3B1–SRSF2 (pan-cancer),pan-cancer,PAN-CANCER,SF3B1,SRSF2,60,61228,57,3982,4,39.94745433,0.1103557916,34.3756077,3.366420773,-5.571846633,3.368229093,-12.17345435,1.02976108,0.09807952197,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.1275033786,scope=pan-cancer; horizonMonths=60
