scope,cancer,geneA,geneB,context,contrast,nPatients,nEvents,nStudies,nStrata,nDoubleNegative,nAOnly,nBOnly,nDoubleMutant,coefficient,standardError,hazardRatio,ciLow,ciHigh,z,p,phTestP,tiesMethod,fitStatus,globalFdr,withinCancerFdr,fdrFamily,geneAFrequency,geneBFrequency,frequencyThreshold,eligibilityRule
cancer-specific,COADREAD,APC,PIK3CA,APC–PIK3CA (COADREAD),A+B versus A−/B−,5693,1305,15,15,1357,3184,241,911,-0.417406143747851,0.092193190225794,0.658753317064079,0.549854557733752,0.789219488388882,-4.52751599901864,5.96810838286151e-06,0.27472661089287,Efron,estimated,0.00015492214677178005,0.00010861957256807948,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.19350822587816807,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,PIK3CA,APC–PIK3CA (COADREAD),multiplicative A×B interaction,5693,1305,15,15,1357,3184,241,911,0.304113942988304,0.175847539872116,1.35542348829395,0.960269886815486,1.9131838432542,1.72941824042275,0.0837342677624321,0.27472661089287,Efron,estimated,0.547679252661367,0.40104307191480637,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.19350822587816807,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,SMAD4,APC–SMAD4 (COADREAD),A+B versus A−/B−,5693,1305,15,15,1359,3542,239,553,0.0568723373942204,0.0993927090311441,1.0585206682626,0.871156366806081,1.28618242124209,0.572198282435382,0.567187650975975,0.860323843712282,Efron,estimated,0.6672087161640639,0.8064699412314644,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.1401511783014673,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,SMAD4,APC–SMAD4 (COADREAD),multiplicative A×B interaction,5693,1305,15,15,1359,3542,239,553,0.0676153856283714,0.158920676709268,1.06995370975671,0.783594652568249,1.46096063477466,0.425466257937398,0.670496813972402,0.860323843712289,Efron,estimated,0.9272353276466292,0.9308794353696772,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.1401511783014673,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,TP53,APC–TP53 (COADREAD),A+B versus A−/B−,5693,1305,15,15,705,1106,893,2989,-0.211304132656612,0.0880891213732696,0.809527825589967,0.681161644217146,0.962084853085926,-2.39875400460892,0.0164509623232848,0.0113712886715519,Efron,estimated,0.0640559345462902,0.0931154294151263,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.659670964873277,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,TP53,APC–TP53 (COADREAD),multiplicative A×B interaction,5693,1305,15,15,705,1106,893,2989,0.0091248670875612,0.125508757069642,1.00916662560424,0.78909561809396,1.29061327281656,0.0727030312514216,0.942042436345443,0.0113712886715509,Efron,estimated,0.9876187426894589,0.98263280774999,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.659670964873277,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,BRAF,ARID1A–BRAF (COADREAD),A+B versus A−/B−,5663,1291,14,14,4488,516,462,197,-0.121954801242742,0.16244572399073,0.885188377013033,0.643815831500816,1.21705373565045,-0.750741837007054,0.452808039280836,0.0251696531010126,Efron,estimated,0.5641988169439217,0.7358130638313585,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.11409515340151179,0.10226767452200979,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,BRAF,ARID1A–BRAF (COADREAD),multiplicative A×B interaction,5663,1291,14,14,4488,516,462,197,-0.0933382354256173,0.217278917619952,0.9108853544906,0.594998087004259,1.39447864984401,-0.429577965722738,0.667502668252715,0.0251696531010127,Efron,estimated,0.9268838242032733,0.9308794353696772,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.11409515340151179,0.10226767452200979,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,CSMD3,ARID1A–CSMD3 (COADREAD),A+B versus A−/B−,1269,372,7,7,992,91,136,50,-0.0298249737441467,0.296844435273281,0.970615401862028,0.542466267138367,1.73668726592263,-0.100473413681106,0.91996848882291,0.762058924944662,Efron,estimated,0.945380416363501,0.9837841831734548,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.10433244916003537,0.10079575596816977,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,CSMD3,ARID1A–CSMD3 (COADREAD),multiplicative A×B interaction,1269,372,7,7,992,91,136,50,0.205897481296,0.396846967876602,1.22862724026623,0.564447285091504,2.67434167086038,0.518833449572991,0.603876889744556,0.762058924944662,Efron,estimated,0.9136471962125892,0.9308794353696772,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.10433244916003537,0.10079575596816977,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
