context,scope,cancer,geneA,geneB,model,varianceEstimator,adjustmentTerms,nPatients,nEvents,nStudies,nStrata,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,fdr,fitStatus
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,four-group study-clustered sensitivity,study-clustered sandwich,none,69778,24345,112,259,0.2439234276,0.1269521601,1.276246602,0.9951137429,1.636803229,0.05468373241,0.07898761348,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,four-group zero-time sensitivity,model-based,none,70345,24636,112,259,0.2368485612,0.1299863185,1.267249193,0.9822396657,1.634957915,0.06843924164,0.08897101413,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,70345,24636,112,259,0.2368485612,0.1277762901,1.267249193,0.9865035396,1.627891286,0.06379368501,0.0921464339,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,18531,7010,84,99,0.1420846339,0.1364421747,1.1526742,0.8821994502,1.506074177,0.297711183,0.387024538,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,four-group primary,model-based,none,70604,24347,136,328,0.2370244694,0.06551214281,1.267472132,1.114742046,1.441127668,0.0002968614966,0.0005513142081,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,four-group study-clustered sensitivity,study-clustered sandwich,none,70604,24347,136,328,0.2370244694,0.05991089392,1.267472132,1.12704738,1.425393141,7.612487679e-05,0.0001413747712,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,four-group zero-time sensitivity,model-based,none,71191,24646,136,328,0.2330280101,0.06511360212,1.262416839,1.111163534,1.434258979,0.0003451866244,0.0007044305897,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,71191,24646,136,328,0.2330280101,0.0591396221,1.262416839,1.124250376,1.417563481,8.137887268e-05,0.0001511321921,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,four-group age/sex complete-case,model-based,standardised age + recorded sex,17811,6829,76,87,0.3740747377,0.256144845,1.453645789,0.8798886327,2.401538104,0.1441793084,0.208259001,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,four-group primary,model-based,none,70399,24777,123,288,0.05675361617,0.1332979449,1.058395007,0.8150502143,1.374393836,0.6702790017,0.6702790017,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,four-group study-clustered sensitivity,study-clustered sandwich,none,70399,24777,123,288,0.05675361617,0.1830629758,1.058395007,0.739306109,1.515204564,0.756543951,0.756543951,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,four-group zero-time sensitivity,model-based,none,70972,25069,123,288,0.0424121966,0.1332587447,1.043324445,0.803506388,1.354719656,0.7502805032,0.7502805032,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,70972,25069,123,288,0.0424121966,0.1851027947,1.043324445,0.725871255,1.499612899,0.8187695849,0.8187695849,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,18531,7010,84,99,-0.4546098782,0.1276763457,0.6346955282,0.4941822427,0.8151616524,0.0003699478669,0.001202330567,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,four-group primary,model-based,none,70588,24359,136,327,-0.1677381969,0.08393673808,0.8455751799,0.7173071266,0.9967799821,0.04567457699,0.06597438899,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,four-group study-clustered sensitivity,study-clustered sandwich,none,70588,24359,136,327,-0.1677381969,0.2342606268,0.8455751799,0.534255768,1.33830541,0.473971348,0.5601479567,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,four-group zero-time sensitivity,model-based,none,71175,24658,136,327,-0.1673414538,0.08365500246,0.8459107226,0.7179881274,0.9966250461,0.04545968487,0.06566398926,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,71175,24658,136,327,-0.1673414538,0.2295997979,0.8459107226,0.5393725343,1.326661825,0.4660997078,0.5508451092,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,four-group age/sex complete-case,model-based,standardised age + recorded sex,12857,4538,57,61,0.7153629245,0.2063002244,2.044928702,1.36481913,3.06394694,0.0005251636801,0.001365425568,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,four-group primary,model-based,none,58386,19231,93,201,0.8333242144,0.05779620994,2.300954909,2.054527151,2.576940144,3.968894813e-47,2.579781628e-46,estimated
