datasetId,context,scope,cancer,geneA,geneB,term,chiSquare,degreesFreedom,phTestP,transform,diagnostic,tiesMethod,phFdr,phFdrFamily
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,Both,1.068398606,1,0.3013074432,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.5461197408,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,GLOBAL,57.0978901,3,2.449156262e-12,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_EGFR_KRAS_positive,EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,A_only,29.57246567,1,5.386469573e-08,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_EGFR_KRAS_positive,EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,B_only,21.29057311,1,3.946675829e-06,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_EGFR_KRAS_positive,EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,Both,0.5540278364,1,0.4566765768,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.6970326698,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_EGFR_KRAS_positive,EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,GLOBAL,45.01508955,3,9.184630539e-10,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_STK11_TP53_positive,STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,A_only,21.14457103,1,4.259060851e-06,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_STK11_TP53_positive,STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,B_only,28.56493293,1,9.060833833e-08,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_STK11_TP53_positive,STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,Both,16.37664633,1,5.192103106e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.0005019033002,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_STK11_TP53_positive,STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,GLOBAL,83.83438128,3,4.61675981e-18,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_BRAF_KRAS_positive,BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,A_only,16.2815555,1,5.459277459e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_BRAF_KRAS_positive,BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,B_only,20.57973844,1,5.719829221e-06,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_BRAF_KRAS_positive,BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,Both,1.166427989,1,0.28013641,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.5415970593,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_BRAF_KRAS_positive,BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,GLOBAL,43.14471741,3,2.292898512e-09,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_BRAF_NRAS_positive,BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,A_only,14.33278792,1,0.0001531736709,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_BRAF_NRAS_positive,BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,B_only,0.3634718896,1,0.5465843311,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_BRAF_NRAS_positive,BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,Both,0.1932871032,1,0.6601947562,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.7977353305,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_BRAF_NRAS_positive,BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,GLOBAL,17.12020393,3,0.0006676292287,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,A_only,2.771463065,1,0.0959584168,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,B_only,0.002709412238,1,0.9584872478,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,Both,0.07164142025,1,0.7889616968,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.8570167914,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,GLOBAL,2.850322064,3,0.4152828638,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PTEN_TP53_positive,PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,A_only,1.642623512,1,0.1999658915,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PTEN_TP53_positive,PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,B_only,36.46983576,1,1.550472049e-09,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PTEN_TP53_positive,PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,Both,7.068051242,1,0.007847055941,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.05689115557,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_PTEN_TP53_positive,PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,GLOBAL,50.36764913,3,6.671125409e-11,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_CTNNB1_TP53_positive,CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,A_only,1.512560255,1,0.2187488295,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_CTNNB1_TP53_positive,CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,B_only,23.9881078,1,9.693256908e-07,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_CTNNB1_TP53_positive,CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,Both,1.523430614,1,0.2171010764,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.4843024011,all 29 primary A+B coefficient-level PH tests
