datasetId,context,scope,cancer,geneA,geneB,interval,lowerMonths,upperMonths,nAtRiskAtIntervalStart,nEventsInInterval,nBothAtRiskAtIntervalStart,nDoubleNegativeAtRiskAtIntervalStart,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,contrast,model,baselineHazards,tiesMethod,fitStatus,fdr,fdrFamily
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,>36 months,36,,1057,356,5,622,1.361238622,0.7126386334,3.901022201,0.9651155597,15.76803323,0.05611535933,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.168346078,scope=cancer-specific; interval=>36 months
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,0–12 months,0,12,58386,10002,629,55380,1.073664869,0.0649687825,2.926083586,2.576233362,3.323443162,2.39014576e-61,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,1.553594744e-60,scope=pan-cancer; interval=0–12 months
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,12–36 months,12,36,36207,7054,241,34662,0.2473522148,0.1426362535,1.28063009,0.9683035028,1.693697713,0.08289202428,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.1124589908,scope=pan-cancer; interval=12–36 months
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,>36 months,36,,11844,2175,62,11391,-0.2418259234,0.3636507936,0.7851928494,0.3849782724,1.601461316,0.5060537546,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.8160736159,scope=pan-cancer; interval=>36 months
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,0–12 months,0,12,72612,12322,5319,39259,0.7164972248,0.04016771649,2.047249582,1.892256339,2.2149382,3.606143714e-71,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,4.687986828e-70,scope=pan-cancer; interval=0–12 months
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,12–36 months,12,36,46129,9193,2576,26960,0.524148207,0.05083234888,1.68901954,1.528854304,1.865963945,6.264028459e-25,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,8.143236996e-24,scope=pan-cancer; interval=12–36 months
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,>36 months,36,,17002,4016,497,11443,0.151791982,0.1189452396,1.163918095,0.9218835142,1.469497297,0.2019024565,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.5739371518,scope=pan-cancer; interval=>36 months
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,0–12 months,0,12,70675,11980,1438,58373,-0.08347695254,0.08944049125,0.9199122881,0.7719950861,1.09617099,0.3506527333,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.4558485532,scope=pan-cancer; interval=0–12 months
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,12–36 months,12,36,44793,8931,969,36784,-0.241436741,0.1003621596,0.7854984921,0.6452335342,0.9562551361,0.01614349767,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.02998078138,scope=pan-cancer; interval=12–36 months
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,>36 months,36,,16397,3938,320,13338,-0.2891645685,0.1814365836,0.7488889517,0.5247812669,1.068701757,0.1109920239,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.5739371518,scope=pan-cancer; interval=>36 months
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,0–12 months,0,12,70588,12281,910,41539,-0.02000709622,0.1241117831,0.9801917176,0.7685407277,1.250129978,0.8719341247,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.8719341247,scope=pan-cancer; interval=0–12 months
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,12–36 months,12,36,44150,8985,651,27618,-0.5183368069,0.1464401129,0.5955101732,0.4469296166,0.7934859388,0.0004007610468,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.001302473402,scope=pan-cancer; interval=12–36 months
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,>36 months,36,,15253,3093,303,10693,0.1637068082,0.1915616762,1.177868923,0.8091692474,1.714567384,0.3927778323,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,0.8160736159,scope=pan-cancer; interval=>36 months
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,0–12 months,0,12,72535,12304,3505,38415,0.4483118342,0.04513231026,1.565666848,1.433120352,1.71047231,2.982817474e-23,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,9.69415679e-23,scope=pan-cancer; interval=0–12 months
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,12–36 months,12,36,46077,9178,2163,25742,0.4707454478,0.05121484415,1.60118735,1.448264869,1.770256936,3.871051189e-20,A+B versus A−/B−,conditional interval-specific four-group Cox model,study × cancer group,Efron,estimated,2.516183273e-19,scope=pan-cancer; interval=12–36 months
